year,intP_RSP,mnChl_aw_RSP,mnOW_RSP,nmSST_aw_RSP,intP_MCM,mnChl_aw_MCM,mnOW_MCM,nmSST_aw_MCM,mnAirTemp,mnWind,mnSIE,OW_day_RSP,logOW_day_MCM,GyreSPD,TOTALDays.10,TOTALTonnes.100,Prop._134,Fish,Fish_cum3,Fish_cum_8_9_1,Fish_cum_6_8_1,Fish_cum_75_1,Fish_cum2,Fish_cum_5_1,Fish_cum_2_1,Fish_cum_8_1_1,Salinity,ICEBERG,ADPE_BIRD,ADPE_CROZ,ADPE_RO,BIRD,EMPE,WESE,WESE_1,av_SIE,FIE
1998,0.651159644,1.161487349,250157,-0.690398,0.717087139,1.296946275,4370.76,-0.758259,-5.65,7.8,3.126,8,5.220355825,6.3,1,0.41,34,0.1394,,,,,,,,,34.845,0,38252,125441,34110,38252,1108,0.6388527,,3.126,17.2
1999,0.655694891,1.353059795,218399,-0.901666,0.719670487,1.505374104,4127.91,-0.926631,-5.9,7.8,3.269,4,5.209486153,6.7,8.5,2.96,24,0.7104,,,,,,,,,,0,47350,156441,36200,47350,798,0.6505867,,3.269,31
2000,0.587393464,1.098476743,200943,-0.924639,0.352763714,0.638517296,2959.68,-1.10923,-4.45,7.8,2.983,2,4.912654886,6.4,12.3,6.6944,36,2.409984,3.259784,3.160864,3.061944,2.942784,3.120384,2.765184,2.552064,3.231904,34.79,0,41409,89489,23630,41409,1201,0.6219035,1.05,2.983,37.2
2001,0.769725165,1.460240577,250135,-0.645706,1.061293957,3.120599358,4366.66,-0.911519,-6.175,8.6,2.964,9,5.308267697,6.6,26.2,5.6849,12,0.682188,3.802572,3.4194936,3.0364152,2.489676,3.092172,1.88718,1.1641848,3.660492,34.835,1,26317,67114,13670,26317,0,0.5084746,0.75,2.964,15
2002,0.207973,0.31176,100918,-1.11723,0.121901,0.190598,1748.01,-1.10955,-6.05,8.8,2.779,24,0.693147181,4.4,20.5,12.3086,14,1.723204,4.815376,4.2651604,3.7149448,2.234845,2.405392,2.064298,1.8596416,4.3333792,34.84,1,40678,161079,22390,40678,247,0.5345502,0.8,2.779,44.9
2003,0.65881,1.27813,190735,-1.04701,0.17975,0.242426,2701.45,-1.17764,-4.625,8.6,2.859,12,0,7,43.5,14.1807,55,7.799385,10.204777,9.896019,9.587261,9.091788,9.522589,8.660987,8.1440258,10.0683394,34.836,1,22816,100843,19630,22816,279,0.5084746,0.78,2.859,52
2004,0.659537,1.201,268734,-0.546599,0.0595893,0.0920093,1115.63,-1.39412,-5,8.4,2.759,2,4.644390899,7.2,98.8,20.6458,35,7.22603,16.748619,15.6240397,14.4994604,13.07556875,15.025415,11.1257225,8.785907,16.4039782,34.835,1,36773,182492,20360,36773,475,0.2607562,0.35,2.759,14.9
2005,0.617897,1.11671,236044,-0.551816,0.245199,0.534119,3630.16,-1.09905,-5.25,8.8,2.832,3,5.407171771,7.8,57.6,33.5537,38,12.750406,27.775821,25.493341,23.210861,18.1699285,19.976436,16.363421,14.195612,26.215944,34.795,1,57709,194449,24590,57709,0,0.3780965,0.55,2.832,47
2006,0.673591,1.34442,218199,-0.970962,0.392739,0.590828,4718.94,-0.954533,-6,8.8,2.738,6,5.192956851,5.4,47.2,27.0129,45,12.155805,32.132241,29.4119944,26.6917478,21.7186095,24.906211,18.531008,14.7058862,30.687035,34.8,0,50326,205667,26070,50326,359,0.5215124,0.95,2.738,47
2007,0.543325,1.1704,188097,-1.00689,0.353395,0.639611,3903.53,-1.06465,-6.8,9.4,3.126,17,5.262690189,4.9,56.1,28.5381,42,11.986002,36.892213,33.1265513,29.3608896,21.10285575,24.141807,18.0639045,14.417163,34.3421318,,0,50595,197990,26540,50595,612,0.6518905,1.25,3.126,23
2008,0.525248,0.962226,241795,-0.84605,0.25669,0.58906,1968.25,-1.1738,-5.025,8.2,3.167,8,5.370638028,7.4,48.8,22.3769,41,9.174529,33.316336,29.6865748,26.0568136,18.1640305,21.160531,15.16753,11.5717294,30.885175,34.82,0,39285,193624,18050,39285,367,0.5215124,0.75,3.167,20
2009,0.739713,1.81137,227884,-0.983647,0.470999,1.18551,5003.04,-0.939651,-5.475,9.2,3.071,3,4.955827058,6.1,37.7,22.4361,42,9.423162,30.583693,27.2690397,23.9543864,16.30405875,18.597691,14.0104265,11.2580678,28.1864926,,0,67122,282515,26090,67122,650,0.619296,1.1,3.071,38
2010,0.658263,1.36111,254659,-0.702852,0.665519,1.62219,4676.62,-0.910408,-4.8,8.8,2.98,5,5.030437921,7.8,52,30.101,39,11.73939,30.337081,27.559859,24.782637,18.8067615,21.162552,16.450971,13.6240224,28.5021752,34.8,0,68525,278928,25130,68525,427,0.7692308,1.43,2.98,18
2011,0.530627,0.98824,238928,-1.04326,0.344691,0.580363,3446.75,-1.14531,-4.475,8.6,2.756,3,5.342334252,5.6,38.7,29.3494,35,10.27229,31.434842,28.3762706,25.3176992,19.0768325,22.01168,16.141985,12.620168,29.5502096,,0,59875,261371,28870,59875,221,0.7822686,1.38,2.756,18
2012,0.619356,1.16012,224013,-0.806416,0.563372,1.52375,3799.97,-1.00775,-4.325,8,2.789,5,5.293304825,6.4,43.6,31.1801,26,8.106826,30.118506,26.743399,23.368292,15.8110435,18.379116,13.242971,10.161284,27.770628,34.775,0,75696,272340,30830,75696,1080,0.7666232,1.35,2.789,16
2013,0.480733,0.760245,260754,-0.548099,0.586291,1.15787,4809.29,-0.529366,-5.475,8.8,3.113,3,4.976733742,5,59.7,32.8684,21,6.902364,25.28148,22.4163394,19.5511988,12.9824835,15.00919,10.955777,8.5237292,23.227022,34.78,0,66679,280787,29440,66679,1033,0.7203604,1.3,3.113,18
2014,0.469865,1.01051,184900,-0.946211,0.294715,0.603961,3855.74,-0.991542,-5.425,9.2,3.029,23,5.298317367,6.7,50.1,29.8094,17,5.067598,20.076788,17.7651864,15.4535848,10.244371,11.969962,8.51878,6.4480708,18.4554228,34.765,0,77347,281308,31870,77347,1238,0.7783572,1.4,3.029,20
2015,0.550999,1.06958,238508,-0.828653,0.611026,1.36406,4850.6,-0.801907,-5.275,10.4,2.89,7,5.056245805,7.4,40.3,26.78,18,4.8204,16.790362,14.9031294,13.0158968,8.6210985,9.887998,7.354199,5.8339196,15.4098892,,0,74270,304733,31110,74270,1737,0.8100851,1.45,2.89,20
2016,0.71544,1.58285,235490,-0.66167,0.454481,0.993719,2029.15,-1.02759,-6.175,8.2,2.709,10,5.393627546,6.6,27.2,28.2,10,2.82,12.707998,11.2124384,9.7168788,6.4353,7.6404,5.2302,3.78408,11.6944784,34.77,0,58554,280581,17460,58554,1759,0.6257191,1.1,2.709,15
2017,0.345075,0.608589,263830,-0.720451,0.254361,0.401386,3262.14,-1.14877,-4.7,8.8,2.417,7,5.308267697,7.3,37.3,26.8,37,9.916,17.5564,16.31032,15.06424,12.031,12.736,11.326,10.48,16.59232,34.82,0,63734,287091,26290,63734,1743,0.9778357,1.65,2.417,60
2018,0.430345,0.787736,245847,-0.820266,0.450405,1.05382,4958.09,-1.05724,-4.7,11.8,2.65,0,5.129898715,,,26.37,32,8.4384,21.1744,19.6188,18.0632,15.8754,18.3544,13.3964,10.4216,20.6104,34.85,0,65205,312559,31030,65205,1911,0.5997393,1,2.647,13.5
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,15.4
